P, 2544, 0
D, 2544, 255
V, 2566, 2879
H, 2566, 0
C, 2566, 1426
B, 2568, 2898
P, 2568, 0
D, 2568, 255
V, 2590, 2879
H, 2590, 0
C, 2590, 1426
B, 2592, 2898
P, 2592, 0
D, 2592, 255
V, 2614, 2879
H, 2614, 0
C, 2614, 1426
B, 2616, 2898
P, 2616, 0
D, 2616, 255
V, 2638, 2879
H, 2638, 0
C, 2638, 1426
B, 2640, 2898
P, 2640, 0
D, 2640, 255
V, 2662, 2879
H, 2662, 0
C, 2662, 1426
B, 2664, 2898
P, 2664, 0
D, 2664, 255
V, 2686, 2879
H, 2686, 0
C, 2686, 1426
B, 2688, 2898
P, 2688, 0
D, 2688, 255
V, 2710, 2879
H, 2710, 0
C, 2710, 1426
B, 2712, 2898
P, 2712, 0
D, 2712, 255
V, 2734, 2879
H, 2734, 0
C, 2734, 1426
B, 2736, 2898
P, 2736, 0
D, 2736, 255
V, 2758, 2879
H, 2758, 0
C, 2758, 1426
B, 2760, 2898
P, 2760, 0
D, 2760, 255
V, 2782, 2879
H, 2782, 0
C, 2782, 1426
B, 2784, 2898
P, 2784, 0
D, 2784, 255
V, 2806, 2879
H, 2806, 0
C, 2806, 1426
B, 2808, 2898
P, 2808, 0
D, 2808, 255
V, 2830, 2879
H, 2830, 0
C, 2830, 1426
B, 2832, 2898
P, 2832, 0
D, 2832, 255
V, 2854, 2879
H, 2854, 0
C, 2854, 1426
B, 2856, 2898
P, 2856, 0
D, 2856, 255
V, 2878, 2879
H, 2878, 0
C, 2878, 1426
B, 2880, 2898
P, 2880, 0
D, 2880, 255
V, 2902, 2879
H, 2902, 0
C, 2902, 1426
B, 2904, 2898
P, 2904, 0
D, 2904, 255
V, 2926, 2879
H, 2926, 0
C, 2926, 1426
B, 2928, 2898
P, 2928, 0
D, 2928, 255
V, 2950, 2879
H, 2950, 0
C, 2950, 1426
B, 2952, 2898
P, 2952, 0
D, 2952, 255
V, 2974, 2879
H, 2974, 0
C, 2974, 1426
B, 2976, 2898
P, 2976, 0
D, 2976, 255
V, 2998, 2879
H, 2998, 0
C, 2998, 1426
B, 3000, 2898
P, 3000, 0
D, 3000, 255
V, 3022, 2879
H, 3022, 0
C, 3022, 1426
B, 3024, 2898
P, 3024, 0
D, 3024, 255
V, 3046, 2879
H, 3046, 0
C, 3046, 1426
B, 3048, 2898
P, 3048, 0
D, 3048, 255
V, 3070, 2879
H, 3070, 0
C, 3070, 1426
B, 3072, 2898
P, 3072, 0
D, 3072, 255
V, 3094, 2879
H, 3094, 0
C, 3094, 1426
B, 3096, 2898
P, 3096, 0
