3e-09	3e-08	2000	4000	2000	1.5e-12
14	-0.261734	0.014	0.014	1.20717e-08	0.014	3.73414e-09
15	-0.349938	0.015	0.015	1.20517e-08	0.015	3.7628e-09
16	-0.467867	0.016	0.016	1.20321e-08	0.016	3.78386e-09
17	-0.625538	0.017	0.017	1.20114e-08	0.017	3.79726e-09
18	-0.836344	0.018	0.018	1.19892e-08	0.018	3.80409e-09
19	-1.11819	0.019	0.019	1.19726e-08	0.019	3.81197e-09
20	-1.49502	0.02	0.02	1.20461e-08	0.02	3.90641e-09
3e-09	3e-08	2000	4000	2000	1.5e-12
1	-0.006	0.001	0.00100001	1.37034e-08	0	0.00100001
2	-0.008022	0.002	0.00200001	1.35505e-08	0	0.00200001
3	-0.0107254	0.003	0.00300001	1.34221e-08	0	0.00300001
4	-0.0143399	0.004	0.00400001	1.33132e-08	0	0.00400001
5	-0.0191724	0.005	0.00500001	1.32189e-08	0	0.00500001
6	-0.0256335	0.006	0.00600001	1.31356e-08	0	0.00600001
7	-0.034272	0.007	0.00700001	1.30619e-08	0	0.00700001
8	-0.0458217	0.008	0.00800001	1.29988e-08	0	0.00800001
9	-0.0612636	0.009	0.00900001	1.29472e-08	0	0.00900001
10	-0.0819094	0.01	0.01	1.29067e-08	0	0.01
11	-0.109513	0.011	0.011	1.28747e-08	0	0.011
12	-0.146419	0.012	0.012	1.28478e-08	0	0.012
13	-0.195762	0.013	0.013	1.28226e-08	0	0.013
14	-0.261734	0.014	0.014	1.27961e-08	0	0.014
15	-0.349938	0.015	0.015	1.27665e-08	0	0.015
16	-0.467867	0.016	0.016	1.27335e-08	0	0.016
17	-0.625538	0.017	0.017	1.26982e-08	0	0.017
18	-0.836344	0.018	0.018	1.26625e-08	0	0.018
19	-1.11819	0.019	0.019	1.26315e-08	0	0.019
20	-1.49502	0.02	0.02	1.26683e-08	0	0.02
3e-09	3e-08	2000	4000	2000	1.5e-12
1	-0.006	0.001	0.00100001	1.29927e-08	0	0.00100001
2	-0.008022	0.002	0.00200001	1.21201e-08	0.00200001	4.06165e-10
